fragrance_id,note_id,position
1,1,top
1,2,top
1,3,top
1,4,top
1,5,middle
1,6,middle
1,7,base
1,8,base
1,9,base
1,10,base
1,11,base
1,12,base
2,13,top
2,14,top
2,10,top
2,16,middle
2,6,middle
2,17,base
3,18,top
3,19,top
3,20,top
3,21,middle
3,22,middle
3,10,base
3,31,base
4,22,top
4,23,middle
4,24,middle
4,6,middle
4,25,base
4,8,base
4,26,base
5,28,top
5,29,top
5,18,top
5,22,middle
5,9,middle
5,30,base
5,31,base
5,33,base
6,34,top
6,35,top
6,36,middle
6,37,middle
6,38,middle
6,33,base
6,11,base
7,40,top
7,41,top
7,42,middle
7,43,middle
7,31,base
8,44,top
8,45,top
8,2,top
8,22,middle
8,50,middle
8,25,base
8,7,base
9,52,top
9,19,top
9,2,top
9,54,top
9,22,middle
9,6,middle
9,50,middle
9,49,middle
9,7,base
9,11,base
9,25,base
10,55,top
10,6,top
10,56,middle
10,57,middle
10,58,base
10,10,base
11,50,top
11,36,top
11,50,middle
11,9,middle
11,50,base
11,26,base
12,18,top
12,35,top
12,4,top
12,36,middle
12,61,middle
12,25,base
12,60,base
13,36,top
13,48,top
13,64,middle
13,65,middle
13,66,base
13,31,base
14,50,top
14,62,top
14,54,middle
14,9,middle
14,66,base
14,26,base
15,68,top
15,50,top
15,18,middle
15,70,middle
15,10,base
15,8,base
16,68,top
16,2,top
16,9,middle
16,26,base
17,18,top
17,69,top
17,36,middle
17,9,middle
17,31,base
18,18,top
18,71,top
18,36,middle
18,41,middle
18,11,base
18,31,base
19,18,top
19,36,top
19,72,middle
19,74,middle
19,9,base
19,8,base
20,77,top
20,78,top
20,19,middle
20,35,middle
20,10,base
20,26,base
21,2,top
21,80,middle
21,7,middle
21,10,base
21,7,base
22,77,top
22,3,top
22,79,middle
22,26,base
22,31,base
23,82,top
23,83,top
23,84,middle
23,85,middle
23,86,base
23,11,base
24,87,top
24,18,top
24,36,middle
24,11,middle
24,10,base
24,26,base
25,88,top
25,18,top
25,92,middle
25,60,middle
25,10,base
25,8,base
26,91,top
26,89,top
26,90,middle
26,25,base
26,31,base
27,18,top
27,36,middle
27,89,middle
27,25,base
27,31,base
28,1,top
28,5,top
28,36,middle
28,85,middle
28,10,base
28,26,base
29,1,top
29,29,top
29,22,middle
29,50,middle
29,9,base
29,7,base
30,5,top
30,93,top
30,36,middle
30,94,middle
30,11,base
30,95,base
31,96,top
31,97,top
31,98,middle
31,25,middle
31,31,base
32,5,top
32,94,top
32,36,middle
32,99,middle
32,11,base
32,100,base
33,87,top
33,101,top
33,50,middle
33,102,middle
33,9,base
33,66,base
34,103,top
34,48,top
34,104,middle
34,105,middle
34,7,base
34,26,base
35,23,top
35,91,top
35,50,middle
35,106,middle
35,10,base
35,26,base
36,4,top
36,107,top
36,25,middle
36,109,middle
