fragrance_id,name,brand,price_usd,bottle_size_ml,category,rating
1,Bleu de Chanel,Chanel,140,100,designer,4.1
2,Light Blue,Dolce & Gabbana,80,100,designer,4.0
3,Acqua di Gio,Armani,90,100,designer,4.2
4,Tom Ford Noir,Tom Ford,150,100,luxury,4.3
5,Creed Aventus,Creed,300,100,luxury,4.5
6,Dior Sauvage,Dior,120,100,designer,4.4
7,Jo Malone Wood Sage & Sea Salt,Jo Malone,70,100,niche,4.2
8,Byredo Gypsy Water,Byredo,180,100,niche,4.3
9,Chanel No. 5,Chanel,130,100,luxury,4.6
10,Baccarat Rouge 540,Maison Francis Kurkdjian,300,100,luxury,4.7
11,Dior Homme Intense,Dior,150,100,designer,4.3
12,Sauvage Elixir,Dior,160,100,designer,4.5
13,Fahrenheit,Dior,110,100,designer,4.2
14,Dior Homme Parfum,Dior,155,100,designer,4.4
15,Prada L'Homme,Prada,85,100,designer,4.2
16,Prada L'Homme Intense,Prada,95,100,designer,4.3
17,Luna Rossa Black,Prada,90,100,designer,4.1
18,Luna Rossa Ocean,Prada,100,100,designer,4.2
19,Luna Rossa Carbon,Prada,85,100,designer,4.1
20,Allure Homme Sport,Chanel,110,100,designer,4.2
21,Bleu de Chanel Parfum,Chanel,155,100,designer,4.3
22,Allure Homme Sport Eau Extreme,Chanel,125,100,designer,4.4
23,Y EDP,YSL,90,100,designer,4.0
24,La Nuit de l'Homme,YSL,95,100,designer,4.4
25,Myslf EDP,YSL,115,100,designer,4.2
26,Babycat,YSL,280,100,luxury,4.3
27,Tuxedo,YSL,280,100,luxury,4.5
28,Y Le Parfum,YSL,105,100,designer,4.1
29,Place 6,YSL,300,100,luxury,4.4
30,Uomo Born in Roma Intense,Valentino,115,100,designer,4.3
31,Born in Roma Coral Fantasy,Valentino,130,100,designer,4.1
32,Born in Roma,Valentino,105,100,designer,4.2
33,Gentleman EDP Reserve Privee,Givenchy,140,100,designer,4.3
34,Pi,Givenchy,75,100,designer,4.0
35,Gentleman EDP,Givenchy,95,100,designer,4.2
36,Stronger With You Intensely,Armani,105,100,designer,4.3
37,Acqua di Gio Profumo,Armani,110,100,designer,4.4
38,Armani Code Parfum,Armani,115,100,designer,4.2
39,Stronger With You Absolutely,Armani,120,100,designer,4.4
40,Le Male Le Parfum,Jean Paul Gaultier,95,100,designer,4.3
41,Le Male Elixir,Jean Paul Gaultier,110,100,designer,4.4
42,Ultra Male,Jean Paul Gaultier,85,100,designer,4.2
43,Le Beau Le Parfum,Jean Paul Gaultier,100,100,designer,4.1
44,The One For Men EDP,Dolce & Gabbana,90,100,designer,4.2
45,Light Blue Eau Intense,Dolce & Gabbana,95,100,designer,4.1
46,Bottled Absolu,Hugo Boss,95,100,designer,4.1
